tran_no,line_no,tran_date,fb_id,tran_currency,supp_code,Supplier Name,comments,expense_category,expense,usage,cost_center,Cost Center Desc,analysis_code,Analysis Desc,subanalysis_code,Sub Analsysi Desc,remarks,destn_fbid,destn_usage,UniqueId,,,
AEXP-003970-2018,12,12/04/2018,L008-JSPL,AUD,AS001360,QANTAS FREIGHT,NULL,DIRECTOPSSPEND -TECH,Freight,FREIGHT AND CARRIAGE,AU-SYD,Sydney - Location,ZA003,Apportionment,ST001,ST-Administration,NULL,NULL,NULL,5877,,,
AEXP-003971-2018,1,12/04/2018,L008-JSPL,AUD,AS001814,AUSTRALIAN LOGISTICS,NULL,DIRECTOPSSPEND -TECH,Freight,FREIGHT AND CARRIAGE,AU-PER,Perth - Location,CA201,Qantaslink 717,ST001,ST-Administration,NULL,NULL,NULL,5878,,,
AEXP-003972-2018,1,12/04/2018,L008-JSPL,USD,AS001915,TRIANGLE REGIONAL AIRCRAFT,ATT: PETER BROWN,OVERHDS HIGH -TECH,NJW Falko engine rental May-18,OTHER CREDITORS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5879,,,
AEXP-003973-2018,1,12/04/2018,L008-JSPL,USD,AS001915,TRIANGLE REGIONAL AIRCRAFT,ATT: PETER BROWN,OVERHDS HIGH -TECH,NULL,OTHER CREDITORS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5880,,,
AEXP-003974-2018,1,12/04/2018,L008-JSPL,AUD,AS000555,DARWIN INTERNATIONAL AIRPORT,ATTN BRAD MORTIMER/MICK CASSIDY DRW FUEL,OVERHDS HIGH -TECH,NULL,FUEL - BASE,AU-DRW,Darwin - Location,ZA003,Apportionment,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5881,,,
AEXP-003975-2018,1,12/04/2018,L008-JSPL,AUD,AS001588,SUPAGAS,NULL,OVERHDS HIGH -TECH,NULL,BASE SUPPLIES & CONS,AU-BNE,Brisbane - Location,ZA003,Apportionment,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5882,,,
AEXP-003976-2018,1,12/04/2018,L008-JSPL,GBP,AS002161,MUIRHEAD AVIONICS,KARL BENNETT - READOUT A/C REG VH-NXM,OVERHDS LOW - TECH,READOUT A/C REG VH-NXM,AC MAJOR MOD,VH-NXM,VH-NXM B717 - Tail,CA201,Qantaslink 717,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5883,,,
AEXP-003977-2018,1,12/04/2018,L008-JSPL,AUD,AS001770,WRIGHT EXPRESS AUSTRALIA PTY LTD,ATTN TRENT SKAROT,OVERHDS HIGH -TECH,NULL,BASE SUPPLIES & CONS,AU-CNS,Cairns - Location,ZA003,Apportionment,ST001,ST-Administration,NULL,NULL,NULL,5884,,,
AEXP-003978-2018,1,12/04/2018,L008-JSPL,AUD,AS001127,MCNEILL LOGISTICS,NULL,DIRECTOPSSPEND -TECH,Freight,FREIGHT AND CARRIAGE,AU-ADL,Adelaide - Location,ZA003,Apportionment,ST001,ST-Administration,NULL,NULL,NULL,5885,,,
AEXP-003979-2018,1,12/04/2018,L008-JSPL,GBP,AS002161,MUIRHEAD AVIONICS,KARL BENNETT - READOUT VH-YQY,OVERHDS LOW - TECH,READOUT VH-YQY,AC MAJOR MOD,VH-YQY,VH-YQY B717 - Tail,CA201,Qantaslink 717,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5886,,,
AEXP-003980-2018,1,12/04/2018,L008-JSPL,AUD,AS001770,WRIGHT EXPRESS AUSTRALIA PTY LTD,ATTN TRENT SKAROTT,OVERHDS HIGH -TECH,(CODED FROM PREVIOUS STMT),BASE SUPPLIES & CONS,AU-CNS,Cairns - Location,ZA003,Apportionment,ST001,ST-Administration,NULL,NULL,NULL,5887,,,
AEXP-003981-2018,1,12/04/2018,L008-JSPL,AUD,AS001768,WRIGHT EXPRESS AUSTRALIA P/L,ATTN MARK CONSIDINE,OVERHDS HIGH -TECH,(CODED FROM PREVIOUS STMT),BASE SUPPLIES & CONS,AU-ASP,Alice Springs - Location,ZA003,Apportionment,ST001,ST-Administration,NULL,NULL,NULL,5888,,,
AEXP-003982-2018,1,12/04/2018,L008-JSPL,GBP,AS002161,MUIRHEAD AVIONICS,KARL BENNETT - READOUT VH-NXO,OVERHDS LOW - TECH,READOUT VH-NXO,AC MAJOR MOD,VH-NXO,VH-NXO B717 - Tail,CA201,Qantaslink 717,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5889,,,
AEXP-003983-2018,1,12/04/2018,L008-JSPL,AUD,AS000440,CITY OF GREATER GERALDTON,ATTN PETER BALDASSARI FEB 2018 ZZF LANDING GERALDTON,OVERHDS HIGH -TECH,(FLIGHT LOG CHECKED),RECHARGES CLEARING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5890,,,
AEXP-003984-2018,1,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT: PETER BROWN,OVERHDS HIGH -TECH,NULL,DIR LAB HIRE ENG,AU-PER,Perth - Location,CA102,AMSA,ST001,ST-Administration,NULL,NULL,NULL,5891,,,
AEXP-003985-2018,1,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT: PETER BROWN,OVERHDS HIGH -TECH,DECEMBER - AMSA MONTHLY WORK ORDER,DIR LAB HIRE ENG,AU-PER,Perth - Location,CA102,AMSA,ST001,ST-Administration,NULL,NULL,NULL,5892,,,
AEXP-003986-2018,1,12/04/2018,L008-JSPL,AUD,AS000853,HOLIDAY INN SYDNEY AIRPORT,P SUMNER 25/03 BEST RATE OF DAY,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5893,,,
AEXP-003987-2018,1,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT: PETER BROWN,OVERHDS HIGH -TECH,MAINTENANCE WORK ORDER DEC 2017,DIR LAB HIRE ENG,AU-MEL,Melbourne - Location,CA102,AMSA,ST001,ST-Administration,NULL,NULL,NULL,5894,,,
AEXP-003987-2018,2,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT: PETER BROWN,OVERHDS HIGH -TECH,MAINTENANCE WORK ORDER DEC 2017,REP - ROT - EXT REP,VH-XND,VH-XND CL604 - Tail,CA102,AMSA,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5895,,,
AEXP-003988-2018,1,12/04/2018,L008-JSPL,AUD,AS000853,HOLIDAY INN SYDNEY AIRPORT,P EDGTTON 25/03 BEST RATE OF DAY,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5896,,,
AEXP-003989-2018,1,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT: PETER BROWN,OVERHDS HIGH -TECH,STANDING CHARGE VH-XNC DEC 2017,OH CONTRACT LABOUR,VH-XNC,VH-XNC CL604 - Tail,CA102,AMSA,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5897,,,
AEXP-003990-2018,1,12/04/2018,L008-JSPL,GBP,AS002161,MUIRHEAD AVIONICS,KARL BENNETT - READOUT VH-NJP,OVERHDS LOW - TECH,READOUT VH-NJP,AC MAJOR MOD,VH-NJP,VH-NJP RJ100 - Tail,CA401,Regional,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5898,,,
AEXP-003991-2018,1,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT:PETER BROWN,OVERHDS HIGH -TECH,AMSA MONTHLY WORK ORDER,DIR LAB HIRE ENG,AU-PER,Perth - Location,CA102,AMSA,ST001,ST-Administration,NULL,NULL,NULL,5899,,,
AEXP-003991-2018,2,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT:PETER BROWN,OVERHDS HIGH -TECH,AMSA MONTLY WORK ORDER,REP - ROT - EXT REP,VH-XNF,VH-XNF CL604 - Tail,CA102,AMSA,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5900,,,
AEXP-003992-2018,1,12/04/2018,L008-JSPL,AUD,AS001090,MANTRA ON QUEEN,J PAGE 27/03 $155 AS PER OPS RESERVATION REQUEST,OVERHDS LOW - OPS,Accom Brisbane Qantas,DIR OH ACCOM - BASER,AU-BNE,Brisbane - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5901,,,
AEXP-003993-2018,1,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT: PETER BROWN,OVERHDS HIGH -TECH,MONTHLY STANDING FEE DEC 17,OH CONTRACT LABOUR,VH-XNC,VH-XNC CL604 - Tail,CA102,AMSA,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5902,,,
AEXP-003994-2018,1,12/04/2018,L008-JSPL,AUD,AS001425,RV JORDAN PTY LTD,ATT KEN DOLAN MAR18 RENT 51 LIPSON ST,OVERHDS HIGH -TECH,(CODED AS PER PREVIOUS INV),IND RENT,AU-999,Australia Default Location,DA171,Logistics / Supply Chain,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5903,,,
AEXP-003995-2018,1,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT: PETER BROWN,DIRECTOPSSPEND -TECH,XNF COBHAM MAINT WORK ORDER DEC 17,DIR LAB HIRE ENG,au-meb,Essendon - Location,ca103,LADS,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5904,,,
AEXP-003995-2018,2,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT: PETER BROWN,DIRECTOPSSPEND -TECH,XNF COBHAM MAINT WORK,REP - ROT - EXT REP,VH-XNF,VH-XNF CL604 - Tail,CA102,AMSA,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5905,,,
AEXP-003996-2018,1,12/04/2018,L008-JSPL,AUD,AS000696,FREIGHTSHOP,ATTN SAM HARDY DOF charter to Christmas Is,OVERHDS HIGH-COMM,NULL,GROUND HANDLING,AU-PER,Perth - Location,CA402,Ad-Hoc Charter,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5906,,,
AEXP-003997-2018,1,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,NULL,OVERHDS HIGH -TECH,JANUARY 2018 - AMSA,DIR LAB HIRE ENG,AU-PER,Perth - Location,CA102,AMSA,ST001,ST-Administration,NULL,NULL,NULL,5907,,,
AEXP-003997-2018,2,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,NULL,OVERHDS HIGH -TECH,JANUARY 2018 - AMSA,REP - ROT - EXT REP,VH-XNF,VH-XNF CL604 - Tail,CA102,AMSA,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5908,,,
AEXP-003998-2018,1,12/04/2018,L008-JSPL,AUD,AS001440,STAMFORD PLAZA SYDNEY AIRPORT,NULL,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5909,,,
AEXP-003999-2018,1,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT: PETER BROWN,OVERHDS HIGH -TECH,AMSA JANUARY SET FEE,REP - ROT - EXT REP,VH-XNF,VH-XNF CL604 - Tail,CA102,AMSA,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5910,,,
AEXP-004000-2018,1,12/04/2018,L008-JSPL,AUD,AS001440,STAMFORD PLAZA SYDNEY AIRPORT,FA M GAUNG 23/03 $230 AS PER T. ROSE E-MAIL 21/03,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5911,,,
AEXP-004001-2018,1,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,att: peter brown,OVERHDS HIGH -TECH,AMSA MAINTENANCE WORK ORDER DEC 17,DIR LAB HIRE ENG,AU-PER,Perth - Location,CA102,AMSA,ST001,ST-Administration,NULL,NULL,NULL,5912,,,
AEXP-004001-2018,2,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,att: peter brown,OVERHDS HIGH -TECH,AMSA MAINTENANCE WORK ORDER DEC 17,REP - ROT - EXT REP,VH-XNC,VH-XNC CL604 - Tail,CA102,AMSA,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5913,,,
AEXP-004002-2018,1,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,NULL,OVERHDS HIGH -TECH,AMSA MAINTENANCE JAN 18,DIR LAB HIRE ENG,AU-MEB,Essendon - Location,CA102,AMSA,ST001,ST-Administration,NULL,NULL,NULL,5914,,,
AEXP-004002-2018,2,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,NULL,OVERHDS HIGH -TECH,AMSA MAINTENANCE JAN 18,REP - ROT - EXT REP,VH-XND,VH-XND CL604 - Tail,CA102,AMSA,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5915,,,
AEXP-004003-2018,1,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT: PETER BROWN,OVERHDS HIGH -TECH,AMSA MAINTENANCE JAN 18,DIR LAB HIRE ENG,AU-MEB,Essendon - Location,CA102,AMSA,ST001,ST-Administration,NULL,NULL,NULL,5916,,,
AEXP-004003-2018,2,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT: PETER BROWN,OVERHDS HIGH -TECH,AMSA MAINTENANCE JAN 18,REP - ROT - EXT REP,VH-XNF,VH-XNF CL604 - Tail,CA102,AMSA,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5917,,,
AEXP-004004-2018,1,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT: PETER BROWN,OVERHDS HIGH -TECH,AMSA STANDING CHARGE JAN 18,DIR LAB HIRE ENG,AU-MEB,Essendon - Location,CA102,AMSA,ST001,ST-Administration,NULL,NULL,NULL,5918,,,
AEXP-004004-2018,2,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT: PETER BROWN,OVERHDS HIGH -TECH,AMSA STANDING CHARGE JAN 18,REP - ROT - EXT REP,VH-XND,VH-XND CL604 - Tail,CA102,AMSA,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5919,,,
AEXP-004005-2018,1,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT: PETER BROWN,OVERHDS HIGH -TECH,AMSA MAINTENANCE JAN 18,DIR LAB HIRE ENG,AU-MEB,Essendon - Location,CA102,AMSA,ST001,ST-Administration,NULL,NULL,NULL,5920,,,
AEXP-004005-2018,2,12/04/2018,L008-JSPL,AUD,AS000669,EXECUJET MAINTENANCE AUSTRALIA PL,ATT: PETER BROWN,OVERHDS HIGH -TECH,AMSA MAINTENANCE JAN 18,REP - ROT - EXT REP,VH-XND,VH-XND CL604 - Tail,CA102,AMSA,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5921,,,
AEXP-004006-2018,1,12/04/2018,L008-JSPL,AUD,AS000309,BRISBANE AIRPORT CORPORATION PTY LIMITED,ATTN PETER BALDASSARI,OVERHDS HIGH-SPL MIS,AMXX-XNE-520001,LANDING CHARGES,VH-XNE,VH-XNE CL604 - Tail,CA102,AMSA,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,5922,,,
AEXP-004007-2018,1,12/04/2018,L008-JSPL,AUD,AS001233,OAKS PLAZA PIER,CPT R MENKENS 20-22/3,OVERHDS LOW - OPS,NULL,DIR OH ACCOM - BASER,AU-ADL,Adelaide - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5923,,,
AEXP-004008-2018,1,12/04/2018,L008-JSPL,AUD,AS000398,DOUBLE TREE BY HILTON ALICE SPRINGS,selvey 29.03.18,OVERHDS LOW - OPS,selvey 29.03.18,DIR OH ACCOM - BASER,AU-ASP,Alice Springs - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5924,,,
AEXP-004009-2018,1,12/04/2018,L008-JSPL,AUD,AS000652,ESSENDON AIRPORT PTY LTD,NULL,OVERHDS HIGH-SPL MIS,NULL,LANDING CHARGES,vh-xnd,VH-XND CL604 - Tail,ca102,AMSA,zz999,ZZ-Default SAC code,NULL,NULL,NULL,5925,,,
AEXP-004010-2018,1,12/04/2018,L008-JSPL,AUD,AS000398,DOUBLE TREE BY HILTON ALICE SPRINGS,2 X CREW 29.03.18,OVERHDS LOW - OPS,2 X CREW 29.03.18,DIR OH ACCOM - BASER,AU-ASP,Alice Springs - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5926,,,
AEXP-004011-2018,1,12/04/2018,L008-JSPL,AUD,AS001237,OAKS LIBERTY,CPT C HORGAN 11/3,OVERHDS LOW - OPS,NULL,DIR OH ACCOM - BASER,AU-ADL,Adelaide - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5927,,,
AEXP-004012-2018,1,12/04/2018,L008-JSPL,AUD,AS001440,STAMFORD PLAZA SYDNEY AIRPORT,FA M FULTON 23/03 $230 As per T. Rose e-mail 21/03,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5928,,,
AEXP-004013-2018,1,12/04/2018,L008-JSPL,AUD,AS000398,DOUBLE TREE BY HILTON ALICE SPRINGS,4 X CREW 30.03.18 TO 01.04.18,OVERHDS LOW - OPS,4 X CREW 30.03.18 TO 01.04.18,DIR OH ACCOM - BASER,AU-ASP,Alice Springs - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5929,,,
AEXP-004014-2018,1,12/04/2018,L008-JSPL,AUD,AS001263,"MANTRA ON MURRAY, PERTH",FO S CASEY 26/3,OVERHDS LOW - OPS,NULL,DIR OH ACCOM - BASER,AU-PER,Perth - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5930,,,
AEXP-004015-2018,1,12/04/2018,L008-JSPL,AUD,AS001440,STAMFORD PLAZA SYDNEY AIRPORT,T SMITH 24/03 $230 As per T. Rose e-mail 21/03,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5931,,,
AEXP-004016-2018,1,12/04/2018,L008-JSPL,AUD,AS000398,DOUBLE TREE BY HILTON ALICE SPRINGS,5 X CREW 24.03 TO 25.03.18,OVERHDS LOW - OPS,5 X CREW 24.03 TO 25.03.18,DIR OH ACCOM - BASER,AU-ASP,Alice Springs - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5932,,,
AEXP-004017-2018,1,12/04/2018,L008-JSPL,AUD,AS001450,ST JOHN AMBULANCE AUST NT INC,ATT C OTTLEY- SD4914,OVERHDS HIGH -TECH,SD4914,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5933,,,
AEXP-004018-2018,1,12/04/2018,L008-JSPL,AUD,AS000398,DOUBLE TREE BY HILTON ALICE SPRINGS,5 X CREW 27.03 TO 28.03.18,OVERHDS LOW - OPS,5 X CREW 27.03 TO 28.03.18,DIR OH ACCOM - BASER,AU-ASP,Alice Springs - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5934,,,
AEXP-004019-2018,1,12/04/2018,L008-JSPL,AUD,AS001440,STAMFORD PLAZA SYDNEY AIRPORT,R. MELIA 24/03 + LATE CHECK OUT $230 + $120 As per T. Rose e-mail 21/03,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5935,,,
AEXP-004020-2018,1,12/04/2018,L008-JSPL,AUD,AS000398,DOUBLE TREE BY HILTON ALICE SPRINGS,NULL,OVERHDS LOW - OPS,MOHAMED RIZWAN 29.03.18,DIR OH ACCOM - BASER,AU-ASP,Alice Springs - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5936,,,
AEXP-004021-2018,1,12/04/2018,L008-JSPL,AUD,AS001132,MANTON AIR SEA PTY LTD,NULL,DIRECTOPSSPEND -TECH,Freight,FREIGHT AND CARRIAGE,AU-CBR,Canberra - Location,CA201,Qantaslink 717,ST001,ST-Administration,NULL,NULL,NULL,5937,,,
AEXP-004022-2018,1,12/04/2018,L008-JSPL,AUD,AS001132,MANTON AIR SEA PTY LTD,NULL,DIRECTOPSSPEND -TECH,Freight,FREIGHT AND CARRIAGE,AU-CBR,Canberra - Location,CA201,Qantaslink 717,ST001,ST-Administration,NULL,NULL,NULL,5938,,,
AEXP-004023-2018,1,12/04/2018,L008-JSPL,AUD,AS001132,MANTON AIR SEA PTY LTD,NULL,DIRECTOPSSPEND -TECH,Freight,FREIGHT AND CARRIAGE,AU-CBR,Canberra - Location,CA201,Qantaslink 717,ST001,ST-Administration,NULL,NULL,NULL,5939,,,
AEXP-004024-2018,1,12/04/2018,L008-JSPL,AUD,AS000398,DOUBLE TREE BY HILTON ALICE SPRINGS,4 x crew 30.03 to 31.03.18,OVERHDS LOW - OPS,4 x crew 30.03 to 31.03.18,DIR OH ACCOM - BASER,AU-ASP,Alice Springs - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5940,,,
AEXP-004025-2018,1,12/04/2018,L008-JSPL,AUD,AS000693,FEDERAL EXPRESS (AUSTRALIA) PTY LTD,NULL,DIRECTOPSSPEND -TECH,Freight,FREIGHT AND CARRIAGE,AU-ADL,Adelaide - Location,ZA003,Apportionment,ST001,ST-Administration,NULL,NULL,NULL,5941,,,
AEXP-004025-2018,2,12/04/2018,L008-JSPL,AUD,AS000693,FEDERAL EXPRESS (AUSTRALIA) PTY LTD,NULL,DIRECTOPSSPEND -TECH,Freight,FREIGHT AND CARRIAGE,AU-BME,Broome - Location,CA101,SAPL,ST001,ST-Administration,NULL,NULL,NULL,5942,,,
AEXP-004025-2018,3,12/04/2018,L008-JSPL,AUD,AS000693,FEDERAL EXPRESS (AUSTRALIA) PTY LTD,NULL,DIRECTOPSSPEND -TECH,Freight,FREIGHT AND CARRIAGE,AU-BME,Broome - Location,CA101,SAPL,ST001,ST-Administration,NULL,NULL,NULL,5943,,,
AEXP-004025-2018,4,12/04/2018,L008-JSPL,AUD,AS000693,FEDERAL EXPRESS (AUSTRALIA) PTY LTD,NULL,DIRECTOPSSPEND -TECH,Freight,FREIGHT AND CARRIAGE,AU-ADL,Adelaide - Location,CA402,Ad-Hoc Charter,ST001,ST-Administration,NULL,NULL,NULL,5944,,,
AEXP-004026-2018,1,12/04/2018,L008-JSPL,AUD,AS001440,STAMFORD PLAZA SYDNEY AIRPORT,FA E CHAPMAN 27/03 $230 As per T. Rose E-mail 21/03,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5945,,,
AEXP-004027-2018,1,12/04/2018,L008-JSPL,AUD,AS001440,STAMFORD PLAZA SYDNEY AIRPORT,FA S QUINN 27/03 $230 As pe T. Rose e-amil 21/03,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5946,,,
AEXP-004028-2018,1,12/04/2018,L008-JSPL,AUD,AS001440,STAMFORD PLAZA SYDNEY AIRPORT,FA C WEIR 27/03 $230 As per T. Rose e-mail 21/03,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5947,,,
AEXP-004029-2018,1,12/04/2018,L008-JSPL,AUD,AS000853,HOLIDAY INN SYDNEY AIRPORT,B LOVELL 5/4 LATE CHECKOUT,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5948,,,
AEXP-004030-2018,1,12/04/2018,L008-JSPL,AUD,AS001440,STAMFORD PLAZA SYDNEY AIRPORT,FA R PETERSON 27/03 $230 As per T. Rose e-mail 21/03,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5949,,,
AEXP-004031-2018,1,12/04/2018,L008-JSPL,AUD,AS001440,STAMFORD PLAZA SYDNEY AIRPORT,FA M PATHUIS 27/03 $230 As per T. Rose e-mail 21/03,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5950,,,
AEXP-004032-2018,1,12/04/2018,L008-JSPL,AUD,AS001440,STAMFORD PLAZA SYDNEY AIRPORT,FA S MARKCROW 27/03 $230 As per T. Rose e-mail 21/03,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5951,,,
AEXP-004033-2018,1,12/04/2018,L008-JSPL,AUD,AS001440,STAMFORD PLAZA SYDNEY AIRPORT,FA A WILKINSON 27/03 $230 As per T. Rose e-mail 21/03,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5952,,,
AEXP-004034-2018,1,12/04/2018,L008-JSPL,AUD,AS001440,STAMFORD PLAZA SYDNEY AIRPORT,FA T DEVEREUX 27/03 $230 As per T. Rose e-mail 21/03,OVERHDS LOW - OPS,Accom Sydney Qantas,DIR OH ACCOM - BASER,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,5953,,,
AEXP-004035-2018,1,12/04/2018,L008-JSPL,GBP,AS001917,BAE SYSTEMS,ATT T CRONK RO179673,DIRECTOPSSPEND -TECH,RO179673,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5954,,,
AEXP-004036-2018,1,12/04/2018,L008-JSPL,AUD,AS000699,ELEMENT 14 PTY LTD,Attn Peter Brown,OVERHDS HIGH -TECH,Refer PO2000404 for 3 x 1816030,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5955,,,
