fb_id,tran_no,tran_date,supp_code,usage,remarks,cost_center,analysis_code,subanalysis_code,
CORCOMFB,CO33APIN/0997/19,11-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201945,Dt.23/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.",ADM,,,
CORCOMFB,CO33APIN/0998/19,11-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819202001,Dt.24/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.",ADM,,,
CORCOMFB,CO33APIN/0999/19,11-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819202031,Dt.25/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.",ADM,,,
CORCOMFB,CO33APIN/1000/19,09-Jul-18,S02580,24080-0001,"R V K & CO/Inv.no.054/2018-19, dt.02.07.2018/CHN/Twds Professional charges for services connected with Preparing APR certification for fy 2017-2018 for submission to STPI.",FIN,GEN,GEN,
CORCOMFB,CO33APIN/1001/19,09-Jul-18,S00008,19096-0011,"Association of Owners of Residency,Regency and Regalia/01.07.2018 to 30.09.2018/Twds Guest house Maintenance charges for the period quarter II of FY2018-2019.",ADM,,,
CORCOMFB,CO33APIN/1002/19,09-Jul-18,S00651,24080-0001,"V Rajagopalan &CO/Inv no.08,dt.25.05.2018/CHN/Twrds Professional charges for Certification fees-Remittance to Atlassian-Sydney remittance 19412 USD on 25.05.2018-TDS 15%.",FIN,GEN,GEN,
CORCOMFB,CO33APIN/1003/19,11-Jul-18,S03271,19096-0001,"Yum Scrum Foods Pvt.ltd/Inv no.K3-0063, dt.03.07.2018/Jun 2018/Twds House keeping charges for the month of Jun-18.",ADM,,,
CORCOMFB,CO33APIN/1004/19,11-Jul-18,S03271,11088-0005,"Yum Scrum Foods Pvt.ltd/inv no.K3-0064, dt.03.07.2018/CHN/Jun 2018/Twds office assistants Break fast and Lunch expenses for the month; Break fast 131 nos @ rs.40/-per;Lunch 133 nos @ rs.100/-per.",ADM,,,
CORCOMFB,CO33APIN/1005/19,11-Jul-18,S03271,11088-0005,"Yum Scrum Foods Pvt.ltd/inv no.K3-0066, dt.03.07.2018/CHN/Twds charges for Meals & Snacks provided to CEO office. For the month of Jun-18",CEO,,,
CORCOMFB,CO33APIN/1006/19,11-Jul-18,S03271,11088-0005,"Yum Scrum Foods Pvt.ltd/Inv no.K3-0067, dt.03.07.2018/Jun 2018/Twds charges for Meals, Snacks supplied to ADMIN dept.VCMD office,BPO dept,EBS dept,GMS dept,HR Training dept,and Finance Dept; Housekeeping staff lunch expenses fr 20 days @ Rs.30/- during th",ADM,,,
CORCOMFB,CO33APIN/1006/19,11-Jul-18,S03271,11088-0005,"Yum Scrum Foods Pvt.ltd/Inv no.K3-0067, dt.03.07.2018/Jun 2018/Twds charges for Meals, Snacks supplied to ADMIN dept.VCMD office,BPO dept,EBS dept,GMS dept,HR Training dept,and Finance Dept; Housekeeping staff lunch expenses fr 20 days @ Rs.30/- during th",GMS,,,
CORCOMFB,CO33APIN/1006/19,11-Jul-18,S03271,11088-0005,"Yum Scrum Foods Pvt.ltd/Inv no.K3-0067, dt.03.07.2018/Jun 2018/Twds charges for Meals, Snacks supplied to ADMIN dept.VCMD office,BPO dept,EBS dept,GMS dept,HR Training dept,and Finance Dept; Housekeeping staff lunch expenses fr 20 days @ Rs.30/- during th",VMD,,,
CORCOMFB,CO33APIN/1006/19,11-Jul-18,S03271,11088-0005,"Yum Scrum Foods Pvt.ltd/Inv no.K3-0067, dt.03.07.2018/Jun 2018/Twds charges for Meals, Snacks supplied to ADMIN dept.VCMD office,BPO dept,EBS dept,GMS dept,HR Training dept,and Finance Dept; Housekeeping staff lunch expenses fr 20 days @ Rs.30/- during th",HRD,,,
CORCOMFB,CO33APIN/1006/19,11-Jul-18,S03271,11088-0005,"Yum Scrum Foods Pvt.ltd/Inv no.K3-0067, dt.03.07.2018/Jun 2018/Twds charges for Meals, Snacks supplied to ADMIN dept.VCMD office,BPO dept,EBS dept,GMS dept,HR Training dept,and Finance Dept; Housekeeping staff lunch expenses fr 20 days @ Rs.30/- during th",FIN,,,
CORCOMFB,CO33APIN/1007/19,04-Jul-18,S03022,19096-0006,"Saravana Hardwares/Inv No.CR/680,Dt 27/06/2018/CHN/Towards purchase of plumbing and other materials  for Chennai office use.",ADM,,,
CORCOMFB,CO33APIN/1008/19,04-Jul-18,S00298,19096-0011,"Krishna Tower Apartments Owners Association/Inv no.RS/07B/2018, dt.02.07.2018/CHN GH/Jul 2018/Twds Guest house  No.A 15, maintenance charges for the month.",ADM,,,
CORCOMFB,CO33APIN/1009/19,04-Jul-18,S00298,19096-0011,"Krishna Tower Apartments Owners Association/Inv no.RS/07C/2018, dt.02.07.2018/CHN GH/Jul 2018/Twds Guest house  No.A 18, maintenance charges for the month.",ADM,,,
CORCOMFB,CO33APIN/1010/19,04-Jul-18,S00298,19096-0011,"Krishna Tower Apartments Owners Association/Inv no.RS/07D/2018, dt.02.07.2018/CHN GH/Jul 2018/Twds Guest house  No.B 20, maintenance charges for the month.",ADM,,,
CORCOMFB,CO33APIN/1011/19,04-Jul-18,S00298,19096-0011,"Krishna Tower Apartments Owners Association/Inv no.RS/07E/2018, dt.02.07.2018/CHN GH/Jul 2018/Twds Guest house  No.A 23, maintenance charges for the month.",ADM,,,
CORCOMFB,CO33APIN/1012/19,04-Jul-18,S00298,19096-0011,"Krishna Tower Apartments Owners Association/Inv no.RS/07A/2018, dt.02.07.2018/CHN GH/Jul 2018/Twds Guest house  No.A 20, maintenance charges for the month.",ADM,,,
CORCOMFB,CO33APIN/1013/19,04-Jul-18,S01943,23012-0001,M/s. Lans Service Station/Inv No.Lans/Jun'18 Dt 30.6.2018/Jun'18/Twds Diesel charges incurred for Office Vehicles,TN07BD4429 102ltrs ,TN07CA2199 119ltrs and TN07BC7255 90ltrs on various dates,ADM,
CORCOMFB,CO33APIN/1014/19,11-Jul-18,S00133,19184-0001,"DHL Express (India) Pvt.ltd/Inv No.TNS0000054881, Dt.30.06.2018/CHN/Twds Courier charges  incurred from 20.06.2018 -27.06.2018 at Chennai Adyar Office.",HRD,,,
CORCOMFB,CO33APIN/1014/19,11-Jul-18,S00133,19184-0001,"DHL Express (India) Pvt.ltd/Inv No.TNS0000054881, Dt.30.06.2018/CHN/Twds Courier charges  incurred from 20.06.2018 -27.06.2018 at Chennai Adyar Office.",FIN,,,
CORCOMFB,CO33APIN/1015/19,12-Jul-18,S00592,21010-0003,Smartmegh Solutions P Ltd/Inv no SM/GST/022/1819 dt 07.06.2018/CHN/Twrds recruitment charges Ayush Taliwal 15% on CTC 17.50lacs~25% Trade Adv adj & TDS on 75%,HRD,,,
CORCOMFB,CO33APIN/1016/19,11-Jul-18,S03393,11088-0005,"Saffron Hospitality/Inv No.SH-RMC-2017001 0,Dt.30.06.2018/CHN/Jun'18/Twds Therapist services for the period 01.06.2018 to 30.06.2018 for 417 clients @ Rs.300+GST but subject to fixed amount of Rs.150000 upto 550 massages.",HRD,,,
CORCOMFB,CO33APIN/1017/19,11-Jul-18,S02640,11088-0005,"Chloroplast Foods Pvt Ltd/Inv no.344-18/19, Dt. 07.07.2018/CHN/Jun'18/Towards purchase of snacks pouches for Jun'18, 6050 Nos @ 19.048 per pack for Chennai office.",ADM,,,
CORCOMFB,CO33APIN/1018/19,11-Jul-18,S02958,26004-0008,"Craveyard Cafe/Inv no.000106 - 2018, Dt.02/07/2018/Twds snacks and lunch provided for various teams-VCMD, CTT, GMS, & AVN Team as per the bill enclosed.",GMS,,,
CORCOMFB,CO33APIN/1018/19,11-Jul-18,S02958,11088-0005,"Craveyard Cafe/Inv no.000106 - 2018, Dt.02/07/2018/Twds snacks and lunch provided for various teams-VCMD, CTT, GMS, & AVN Team as per the bill enclosed.",VMD,,,
CORCOMFB,CO33APIN/1018/19,11-Jul-18,S02958,11088-0005,"Craveyard Cafe/Inv no.000106 - 2018, Dt.02/07/2018/Twds snacks and lunch provided for Training Students-VCMD, CTT, GMS, & AVN Team as per the bill enclosed.",VMD,,,
CORCOMFB,CO33APIN/1019/19,16-Jul-18,S03615,22011-0022,"Rivertail Travel And Tourism Private Limited/Inv No.213,Dt.01.03.2018/CHN/11.02.2018 -13.02.2018/ Twrds accomodation for the New joinee - Mr.Manik Sarkar as per approvaL.",HRD,,,
CORCOMFB,CO33APIN/1020/19,11-Jul-18,S02958,11088-0005,"Craveyard Cafe/Inv no.000105 - 2018, Dt.02/07/2018/Twds snacks and lunch provided for various teams / Customer visits-CEO,BPO,ERP,EBS,VCMD, HR & HCM Team as per the bill enclosed.",CEO,,,
CORCOMFB,CO33APIN/1020/19,11-Jul-18,S02958,11088-0005,"Craveyard Cafe/Inv no.000105 - 2018, Dt.02/07/2018/Twds snacks and lunch provided for various teams / Customer visits-CEO,BPO,ERP,EBS,VCMD, HR & HCM Team as per the bill enclosed.",HRD,,,
CORCOMFB,CO33APIN/1020/19,11-Jul-18,S02958,11088-0005,"Craveyard Cafe/Inv no.000105 - 2018, Dt.02/07/2018/Twds snacks and lunch provided for various teams / Customer visits-CEO,BPO,ERP,EBS,VCMD, HR & HCM Team as per the bill enclosed.",VMD,,,
CORCOMFB,CO33APIN/1021/19,11-Jul-18,S03129,19096-0004,Jeeva Water Supply/Inv No.292/Dt.02.07.2018/ 16.06.2018 - 30.06.2018/Twds Tanker lorry  water charges for the period - 20 loads*Rs.2400 p.l.,ADM,,,
CORCOMFB,CO33APIN/1022/19,11-Jul-18,S03022,19096-0006,"Saravana Hardwares/Inv No.CR/753,Dt 03/07/2018/CHN/Towards purchase of plumbing and other materials  for Chennai office use.",ADM,,,
CORCOMFB,CO33APIN/1022/19,11-Jul-18,S03022,19096-0006,"Saravana Hardwares/Inv No.CR/753,Dt 03/07/2018/CHN/Towards purchase of plumbing and other materials  for Chennai office use.",ADM,,,
CORCOMFB,CO33APIN/1023/19,11-Jul-18,S03022,19096-0006,"Saravana Hardwares/Inv No.CR/754,Dt 03/07/2018/CHN/Towards purchase of plumbing and other materials  for Chennai office use.",ADM,,,
CORCOMFB,CO33APIN/1024/19,11-Jul-18,S02883,19096-0006,"Writer Information Management Serivces/Inv No.IMSM/18-19/01235,Dt.02.07.2018/CHN/Twrds storage,refiling,retrieval and packing charges per barcode,packing of T2 cartons 33.08/30 days;424 Nos;T1.5 -77 Nos,Minimum Charges - Rs.6615 for Jun'18.",ADM,,,
CORCOMFB,CO33APIN/1025/19,09-Jul-18,S03298,26015-0001,"Newsmen Associates Limited/Inv.No.CHEMAB080901702, Dt.07.07.2018/Towards notice (TAMIL) of Annual General Meeting- Q4 -2017-18 to be held on 03.08.2018.",FIN,,,
CORCOMFB,CO33APIN/1026/19,11-Jul-18,S00060,19184-0001,"Blue dart express ltd/Inv No.433618R003757, Dt.30.06.2018/CHN/Jun'18/Twrds courier charges incurred for the month of Jun'18.",HRD,,,
CORCOMFB,CO33APIN/1026/19,11-Jul-18,S00060,19184-0001,"Blue dart express ltd/Inv No.433618R003757, Dt.30.06.2018/CHN/Jun'18/Twrds courier charges incurred for the month of Jun'18.",IMG,,,
CORCOMFB,CO33APIN/1026/19,11-Jul-18,S00060,19184-0001,"Blue dart express ltd/Inv No.433618R003757, Dt.30.06.2018/CHN/Jun'18/Twrds courier charges incurred for the month of Jun'18.",CEO,,,
CORCOMFB,CO33APIN/1026/19,11-Jul-18,S00060,19184-0001,"Blue dart express ltd/Inv No.433618R003757, Dt.30.06.2018/CHN/Jun'18/Twrds courier charges incurred for the month of Jun'18.",ADM,,,
CORCOMFB,CO33APIN/1026/19,11-Jul-18,S00060,19184-0001,"Blue dart express ltd/Inv No.433618R003757, Dt.30.06.2018/CHN/Jun'18/Twrds courier charges incurred for the month of Jun'18.",GMS,,,
CORCOMFB,CO33APIN/1026/19,11-Jul-18,S00060,19184-0001,"Blue dart express ltd/Inv No.433618R003757, Dt.30.06.2018/CHN/Jun'18/Twrds courier charges incurred for the month of Jun'18.",FIN,,,
CORCOMFB,CO33APIN/1027/19,11-Jul-18,S00060,19184-0001,"Blue dart express ltd/Inv No.433618R004311, Dt.30.06.2018/CHN/Jun'18/Twrds courier charges incurred for the month of Jun'18.",IMG,,,
CORCOMFB,CO33APIN/1028/19,09-Jul-18,S00088,24080-0001,"Cameo corporate Services Ltd/Inv no.TN21024/R/18-19, dt.30.06.2018/CHN/01.06.2018 to 30.06.2018/Twds professional charges with regard to Dispatch of first letter for PAN and bank mandate letters to the share holders.",FIN,GEN,GEN,
CORCOMFB,CO33APIN/1029/19,09-Jul-18,S00088,64075-0003,"Cameo corporate Services Ltd/Inv no.TN21115/R/18-19, dt.30.06.2018/CHN/01.07.2018 - 30.09.2018/Twds professional charges for share transfer work- NSDL &CDSL in connection with depository work for the period/LowerDed of TDS via certificate 0318AH599A-0.25%",,,,
CORCOMFB,CO33APIN/1030/19,09-Jul-18,S03651,26015-0001,"Express Puplications (Madurai) Limited/Inv.No.MUDTN30044101, Dt.18.10.2017/Towards notice (TAMIL) of Board meeting Meeting- Q1 -2017-18 held on 01.11.2017.",FIN,,,
CORCOMFB,CO33APIN/1031/19,09-Jul-18,S00452,19096-0011,"Panacea Facilities management Pvt.ltd/Inv No.3637 Dt 30.06.2018/CHN/Jun'18/Twds upkeep and maintenance of Guest house flat no.a.15,18,20,23 at Krishna tower and Regallia for the month of Jun-18",ADM,,,
CORCOMFB,CO33APIN/1032/19,09-Jul-18,S00452,19096-0011,"Panacea Facilities management Pvt.ltd/Inv No.3638 Dt 30.06.2018/CHN/Jun'18/Twds upkeep and maintenance of Guest house flat no.10/19,Venkataratinam nagar @ Adyar for the month of Jun-18",ADM,,,
CORCOMFB,CO33APIN/1033/19,11-Jul-18,S03050,19096-0006,"Mehak/Inv No.100990/Dt.03.07.2018/Twds purchase of flower baskets for Front Office during the month of Jun'18 @ Adyar Office,Chennai.",ADM,,,
CORCOMFB,CO33APIN/1034/19,09-Jul-18,S00604,11088-0005,M276-Ramco Systems Limited//Inv no M276/June'18 Dt. 01.07.2018/ Twrds club expenses payment for the period/01-June-18 to 30-June-18,CEO,,,
CORCOMFB,CO33APIN/1034/19,09-Jul-18,S00604,11088-0005,R470-Ramco Systems Limited/B219/Inv no R470/June'18 Dt. 01.07.2018/ Twrds club expenses payment for the period/01-June-18 to 30-June-18,CEO,,,
CORCOMFB,CO33APIN/1034/19,09-Jul-18,S00604,11088-0005,N256-Nitin Katyal/Member No./Inv no N256/June'18 Dt. 01.07.2018/ Twrds club expenses payment for the period/01-June-18 to 30-June-18,ADM,,,
CORCOMFB,CO33APIN/1034/19,09-Jul-18,S00604,11088-0005,N256-Nitin Katyal/Member No./Inv no N256/June'18 Dt. 01.07.2018/ Twrds club expenses payment for the period/01-June-18 to 30-June-18,ADM,,,
CORCOMFB,CO33APIN/1039/19,16-Jul-18,S03000,11088-0005,"A Govindaraj Appavunaidu(Ram Agencies)/Inv No.071, Dt.10.07.2018/Towards purchase of Bisleri Water 250 ML - 20 Nos @ Rs.244.16 for office use.",ADM,,,
CORCOMFB,CO33APIN/1040/19,16-Jul-18,S00087,19096-0004,"CMWSSB/Inv No.1281,Dt. 13/07/2018/CHN/Jun'18/Twds water consumption charges for Jun'18 for Chennai Adyar Office/Cons.No.13-172-04529-000/Consumption charges excluding sewerage Tax Rs. 78376.",ADM,,,
CORCOMFB,CO33APIN/1041/19,10-Jul-18,S03628,26004-0012,"Digant Ashokbhai Patel/Inv No.001,Dt.06/07/2018/CHN/Twrds professional charges for creation of Blue Ocean Blog template in Hubspot.",GMS,GEN,GEN,
CORCOMFB,CO33APIN/1042/19,16-Jul-18,S00603,19184-0001,"The Professional Couriers/Inv No.2999138,Dt.01.07.2018/CHN/ 01/06/2018 - 30/06/2018/Twds Courier charges for the month of Jun'18.",FIN,,,
CORCOMFB,CO33APIN/1042/19,16-Jul-18,S00603,19184-0001,"The Professional Couriers/Inv No.2999138,Dt.01.07.2018/CHN/ 01/06/2018 - 30/06/2018/Twds Courier charges for the month of Jun'18.",ADM,,,
CORCOMFB,CO33APIN/1042/19,16-Jul-18,S00603,19184-0001,"The Professional Couriers/Inv No.2999138,Dt.01.07.2018/CHN/ 01/06/2018 - 30/06/2018/Twds Courier charges for the month of Jun'18.",HRD,,,
CORCOMFB,CO33APIN/1042/19,16-Jul-18,S00603,19184-0001,"The Professional Couriers/Inv No.2999138,Dt.01.07.2018/CHN/ 01/06/2018 - 30/06/2018/Twds Courier charges for the month of Jun'18.",VMD,,,
CORCOMFB,CO33APIN/1042/19,16-Jul-18,S00603,19184-0001,"The Professional Couriers/Inv No.2999138,Dt.01.07.2018/CHN/ 01/06/2018 - 30/06/2018/Twds Courier charges for the month of Jun'18.",GMS,,,
CORCOMFB,CO33APIN/1042/19,16-Jul-18,S00603,19184-0001,"The Professional Couriers/Inv No.2999138,Dt.01.07.2018/CHN/ 01/06/2018 - 30/06/2018/Twds Courier charges for the month of Jun'18.",IMG,,,
CORCOMFB,CO33APIN/1043/19,16-Jul-18,S00311,23023-0002,"Lanson Motors Pvt Ltd/Inv No.TAXB8-18560,Dt.06/07/2018/CHN/Twrds servicing of office vehicle Toyota Innova TN 07 BR 7255/Labour -4789,Parts - 7446.63.",ADM,,,
CORCOMFB,CO33APIN/1043/19,16-Jul-18,S00311,23023-0002,"Lanson Motors Pvt Ltd/Inv No.TAXB8-18560,Dt.06/07/2018/CHN/Twrds servicing of office vehicle Toyota Innova TN 07 BR 7255/Labour -4789,Parts - 7446.63.",ADM,,,
CORCOMFB,CO33APIN/1044/19,12-Jul-18,S00536,64075-0003,"Software Technology Parks of India/Inv no.PSTP/18-19/042, dt.07.07.2018/CHN/01.04.2018 to 31.03.2019/Twrds stautory fees payable for the year 2018-2019.",,,,
CORCOMFB,CO33APIN/1045/19,16-Jul-18,S00086,11066-0003,"C.Ravichandran/Inv No.RSL/004-18/19,Dt.30.06.2018/CHN/Twds beverages (Coffee anTea) - 78964 Nos @ Rs.5 each for Chennai Office for the month of Jun'2018/(Corp 80%-Tech 20%)",ADM,,,
CORCOMFB,CO33APIN/1046/19,16-Jul-18,S00212,10010-0005,"G4S Secure Solutions (India) Pvt.ltd/Inv No.D106/000742 CHN18,Dt.30.06.2018/Jun'18/Twds Security Service charges for the month.",ADM,,,
CORCOMFB,CO33APIN/1047/19,04-Jul-18,S03000,11088-0005,"Ram Agencies/Inv no.059, dt.29.06.2018/CHN/Twrds purchase of Bisleri water bottles 250ml 20nos @ Rs.244.16/-for chennai office use.",ADM,,,
CORCOMFB,CO33APIN/1048/19,04-Jul-18,S03022,19096-0006,"Saravana Hardwares/Inv no.CR/695,dt.29.06.2018/CHN/Twrds purchse of painting materials for chennai office use.",ADM,,,
CORCOMFB,CO33APIN/1048/19,04-Jul-18,S03022,19096-0006,"Saravana Hardwares/Inv no.CR/695,dt.29.06.2018/CHN/Twrds purchse of painting materials for chennai office use.",ADM,,,
CORCOMFB,CO33APIN/1049/19,11-Jul-18,S02958,82214-0054,"Craveyard cafe/Inv No.000104 / 2018,Dt.02.07.2018/CHN/21.05.2018-20.06.2018/Twrds meal coupons provided for employees during the month of Jun'18 -for the period 21-May-18 to 20-Jun-18 Deduction Route thro Account.",,,,
CORCOMFB,CO33APIN/1050/19,18-Jul-18,S03468,26004-0012,"Aman Agrawal/Inv no.INDMAA004, dt.02.07.2018/Twds Professional charges for  creation of Google AD words in relation to various Marketing expo and Brand promotional activites done for various events and activities.",GMS,GEN,GEN,
CORCOMFB,CO33APIN/1051/19,19-Jul-18,S02063,19020-0026,"Bharti Airtel Services Limited/Inv no.189677196/Dt. 18.04.2018/CHN/17.03.18 to 16.04.18/Relationship no 7036018652, Phone No 044-48606001/Twds Fixedline for VR Nagar Guest House (airtel-ul-zoom 999 200gb combo plan) for the period.",ADM,,,
CORCOMFB,CO33APIN/1052/19,13-Jul-18,S03271,11088-0005,"Yumscrum Foods Pvt.ltd/Inv no.K3-0065,dt.03.7.2018/CHN/June 2018/Twrds CTT Event luch coupon expenses for the month.
",CTT,,,
CORCOMFB,CO33APIN/1052/19,13-Jul-18,S03271,11088-0005,"Yumscrum Foods Pvt.ltd/Inv no.K3-0065,dt.03.7.2018/CHN/June 2018/Twrds HR Event luch coupon expenses for the month.
",HRD,,,
CORCOMFB,CO33APIN/1052/19,13-Jul-18,S03271,11088-0005,"Yumscrum Foods Pvt.ltd/Inv no.K3-0065,dt.03.7.2018/CHN/June 2018/Twrds ADM Event luch coupon expenses for the month.
",ADM,,,
